Order_Date,Category,Product,Area,Channel,Payment_Method,Unit_Price_KES,Quantity,Discount_Pct,Revenue_KES,Customer_Rating,Units_Returned
27/08/2024,Electronics,Smartphone,Thika,Mobile App,Credit Card,35035.19,2,0,70070.38,3.6,0
14/08/2023,Clothing,Jeans,Eldoret,Online,PayPal,2786.63,9,20,20063.74,3.6,0
11/12/2023,Electronics,Speaker,Machakos,In-Store,Bank Transfer,52357.08,3,5,149217.68,3.4,0
19/07/2024,Home & Garden,Pillow Set,Kisumu,Online,Bank Transfer,43269.26,7,0,302884.82,3.2,0
27/08/2023,Home & Garden,Pillow Set,Mombasa,Online,M-Pesa,53172.05,5,0,265860.25,4.7,0
19/12/2024,Books,Comics,Machakos,Mobile App,Credit Card,1484.58,4,10,6947.837,4.1,0
02/12/2024,Clothing,Sneakers,Thika,In-Store,Credit Card,5815.99,5,5,27625.95,4.4,0
06/08/2023,Electronics,Speaker,Kisumu,Social Media,Cash,11795.91,10,15,100265.24,4.1,0
21/08/2024,Books,Self-Help Book,Kisumu,In-Store,Credit Card,2683.96,9,10,21740.08,3.6,0
04/10/2024,Home & Garden,Desk Lamp,Mombasa,Social Media,M-Pesa,60657.95,2,0,121315.9,2.9,0
20/07/2024,Sports,Yoga Mat,Nakuru,Social Media,PayPal,59769.61,9,10,484133.84,4.7,0
09/04/2024,Electronics,Camera,Eldoret,Mobile App,Cash,18509.72,7,0,129568.04,2.5,0
06/06/2023,Home & Garden,Pillow Set,Machakos,In-Store,PayPal,73080.12,5,5,347130.57,3.4,0
03/09/2023,Sports,Yoga Mat,Eldoret,Mobile App,Bank Transfer,1756.92,6,10,9487.37,2.6,1
12/05/2023,Electronics,Smartphone,Thika,Social Media,M-Pesa,146741.71,9,0,1320675.39,4.1,1
13/02/2024,Clothing,Dress,Eldoret,Social Media,Credit Card,11182.51,4,10,40257.04,5,0
25/08/2024,Books,Biographies,Nakuru,Online,Credit Card,1019.03,6,0,6114.18,3.9,0
14/03/2023,Electronics,Smartphone,Thika,Online,Credit Card,11975.25,1,15,10178.96,3.8,0
21/02/2024,Books,Self-Help Book,Eldoret,In-Store,PayPal,2143.88,4,25,6431.64,3,0
04/03/2023,Books,Cookbook,Nakuru,Social Media,Bank Transfer,3064.28,1,0,3064.28,3.5,0
13/10/2023,Electronics,Laptop,Mombasa,In-Store,PayPal,68394.81,7,0,478763.67,3.7,1
06/04/2023,Electronics,Headphones,Machakos,Online,M-Pesa,98517.44,9,0,886656.96,4.8,0
24/01/2024,Clothing,Jacket,Nakuru,Social Media,Credit Card,10443.48,1,0,10443.48,2.5,0
16/08/2024,Books,Cookbook,Nakuru,Social Media,Credit Card,907.67,4,0,3630.68,4.3,0
28/02/2023,Home & Garden,Sofa,Nairobi,Social Media,PayPal,73615.46,9,0,662539.14,4.9,0
15/08/2024,Clothing,T-Shirt,Eldoret,Online,Credit Card,5143.42,10,5,48862.49,4,0
29/09/2023,Books,Comics,Eldoret,Mobile App,Cash,953.63,6,5,5435.69,3.5,0
17/03/2023,Home & Garden,Coffee Maker,Kisumu,Online,M-Pesa,37096.21,10,0,370962.1,3.8,0
18/09/2024,Clothing,Dress,Nairobi,In-Store,Cash,3777.35,8,10,27196.92,5,0
29/04/2023,Sports,Yoga Mat,Thika,Mobile App,M-Pesa,56372.44,3,10,152205.59,4.7,0
15/09/2023,Clothing,Dress,Kisumu,In-Store,Cash,2841.37,5,25,10655.14,4.8,0
15/06/2023,Electronics,Camera,Nakuru,Mobile App,M-Pesa,2524.76,3,10,6816.85,4.4,0
14/01/2024,Books,Biographies,Nairobi,Online,M-Pesa,3324.16,3,0,9972.48,4,0
13/11/2024,Clothing,T-Shirt,Kisumu,Mobile App,M-Pesa,10837.63,4,5,41182.99,4.5,1
26/01/2023,Books,Biographies,Thika,In-Store,Credit Card,3066.74,3,20,7360.18,2.9,1
09/02/2023,Books,Textbook,Thika,In-Store,Cash,809.43,2,20,1295.09,4.6,0
03/12/2023,Books,Cookbook,Kisumu,In-Store,Credit Card,375.73,4,20,1202.34,2.7,0
25/09/2023,Home & Garden,Wall Art,Eldoret,Social Media,PayPal,27027.07,1,0,27027.07,2.9,1
12/09/2024,Home & Garden,Sofa,Nairobi,Social Media,Cash,58500.77,6,20,280803.7,5,0
08/01/2024,Sports,Dumbbells,Kisumu,Online,Bank Transfer,700.46,9,5,5988.93,3.6,1
17/02/2024,Home & Garden,Pillow Set,Kisumu,Online,Cash,40964.1,7,15,243736.39,4.2,0
15/07/2024,Clothing,Jacket,Thika,Social Media,Credit Card,7578.42,5,20,30313.68,4.6,0
23/06/2023,Clothing,Jacket,Machakos,Mobile App,Bank Transfer,5580.54,4,25,16741.62,4.1,0
26/01/2023,Sports,Running Shoes,Nairobi,In-Store,Cash,13943.66,4,0,55774.64,2.6,2
14/12/2024,Sports,Swimming Goggles,Machakos,Online,Bank Transfer,25217.8,10,5,239569.1,3.5,0
21/02/2023,Electronics,Speaker,Machakos,Online,Bank Transfer,34388.49,9,25,232122.31,3.9,1
29/03/2024,Electronics,Headphones,Mombasa,Social Media,PayPal,148208.08,10,15,1259768.68,4,0
23/09/2023,Sports,Bicycle,Machakos,Social Media,Credit Card,44773.13,8,25,268638.78,4.4,0
29/08/2023,Home & Garden,Rug,Machakos,Social Media,Credit Card,22548.12,2,10,40586.62,3.2,0
07/03/2023,Sports,Yoga Mat,Mombasa,In-Store,Credit Card,23352.3,3,5,66554.05,3.5,0
12/08/2024,Books,Science Book,Nairobi,In-Store,Bank Transfer,1546.33,10,0,15463.3,3.5,0
14/05/2024,Home & Garden,Blender,Machakos,Social Media,Bank Transfer,43427.07,9,5,371301.45,3,0
08/02/2024,Electronics,Headphones,Kisumu,Social Media,Credit Card,126394.84,3,0,379184.52,4,0
02/12/2023,Electronics,Camera,Nakuru,In-Store,Bank Transfer,28895.9,5,20,115583.6,3.3,0
06/07/2024,Books,Cookbook,Machakos,Social Media,Cash,2971.71,8,0,23773.68,2.6,1
28/09/2024,Clothing,Boots,Nairobi,Online,M-Pesa,11420.53,4,0,45682.12,2.9,0
17/06/2023,Electronics,Smartwatch,Mombasa,Social Media,Cash,115500.92,3,0,346502.76,4.9,0
29/08/2024,Electronics,Tablet,Eldoret,Social Media,Bank Transfer,141337.65,4,0,565350.6,4.2,0
22/12/2023,Electronics,Camera,Machakos,Mobile App,PayPal,121218.14,10,0,1575835.82,4.2,0
25/12/2024,Home & Garden,Sofa,Machakos,Social Media,Bank Transfer,9158.68,6,25,41214.06,2.9,0
27/11/2023,Home & Garden,Pillow Set,Machakos,Social Media,Bank Transfer,35297.5,10,10,412980.75,4.6,0
30/01/2023,Books,Self-Help Book,Machakos,Social Media,PayPal,2253.06,7,15,13405.71,3.7,0
23/07/2024,Books,Self-Help Book,Kisumu,Mobile App,Cash,1194.91,10,10,10754.19,2.5,1
23/10/2024,Electronics,Laptop,Thika,Social Media,Bank Transfer,84166.08,4,25,252498.24,4.3,0
29/04/2024,Electronics,Smartphone,Kisumu,In-Store,Bank Transfer,104384.5,5,15,443634.12,3.9,0
17/07/2023,Sports,Running Shoes,Kisumu,Social Media,Cash,18813.41,4,0,75253.64,3.3,0
13/04/2023,Clothing,Jeans,Mombasa,Social Media,Cash,8832.73,9,10,71545.11,4.6,0
20/07/2024,Home & Garden,Desk Lamp,Kisumu,Online,PayPal,10825.37,1,0,10825.37,3.2,1
15/12/2023,Books,Fiction Novel,Machakos,Online,PayPal,1209.89,8,25,7259.34,2.6,1
05/06/2023,Books,Fiction Novel,Machakos,Online,Bank Transfer,1873.59,10,0,18735.9,2.9,0
19/06/2024,Home & Garden,Sofa,Mombasa,Online,PayPal,61343.92,10,5,582767.24,3.5,1
01/08/2023,Home & Garden,Rug,Eldoret,Social Media,Cash,45835.45,1,0,45835.45,4.1,0
06/04/2024,Electronics,Laptop,Mombasa,In-Store,PayPal,13109.6,1,20,10487.68,4.2,0
